code	lang	name	shortname
aq	en	aquatic	NA
ATM	en	Atmospheric monitoring	NA
ATM_03.1	en	Atmospheric monitoring: 3.1 Eutrophication through air	ATM: 03.1_eutr_air
ATM_03.1_group1	en	very sensitive non-forest types	very sensitive non-forest
ATM_03.1_group2	en	sensitive non-forest types	sensitive non-forest
ATM_03.1_group3	en	less to not sensitive non-forest types	less/not sensitive non-forest
ATM_03.1_group4	en	very sensitive forest types	very sensitive forest
ATM_03.1_group5	en	sensitive forest types	sensitive forest
ATM_03.1_group6	en	less to not sensitive forest types	less/not sensitive forest
ATM_04.1	en	Atmospheric monitoring: 4.1 Acidification through air	ATM: 04.1_acidif_air
ATM_04.1_group1	en	very sensitive non-forest types	very sensitive non-forest
ATM_04.1_group2	en	sensitive non-forest types	sensitive non-forest
ATM_04.1_group3	en	less to not sensitive non-forest types	less/not sensitive non-forest
ATM_04.1_group4	en	very sensitive forest types	very sensitive forest
ATM_04.1_group5	en	sensitive forest types	sensitive forest
ATM_04.1_group6	en	less to not sensitive forest types	less/not sensitive forest
ATM_08.1	en	Atmospheric monitoring: 8.1 Pollution through air	ATM: 08.1_poll_air
ATM_101	en	Atmospheric monitoring: 101 Climate change in dry periods	ATM: 101_clim_dry
ATM_102	en	Atmospheric monitoring: 102 Climate change in wet periods	ATM: 102_clim_wet
focal	en	Focal scheme	NA
GW	en	Groundwater monitoring	NA
GW_03.3	en	Groundwater monitoring: 3.3 Eutrophication through groundwater	GW: 03.3_eutr_gw
GW_03.3_group1	en	types from oligotrophic environments	oligotrophic
GW_03.3_group2	en	types from mesotrophic environments	mesotrophic
GW_03.3_group3	en	types from weakly eutrophic environments	weakly eutrophic
GW_03.3_group4	en	types from moderately eutrophic to eutrophic environments	(moderately) eutrophic
GW_04.2	en	Groundwater monitoring: 4.2 Acidification through groundwater	GW: 04.2_acidif_gw
GW_05.1_aq	en	Groundwater monitoring: 5.1 Desiccation through groundwater: partim aquatic	GW: 05.1_des_gw: aq
GW_05.1_aq_group1	en	types from spring-fed brooks	spring-fed brooks
GW_05.1_aq_group2	en	types from lakes with stable groundwater table	stable lakes
GW_05.1_aq_group3	en	types from lowland rivers	lowland rivers
GW_05.1_aq_group4	en	types from dune lakes (moderate groundwater dynamics)	dune lakes
GW_05.1_aq_group5	en	types from softwater lakes with dynamic groundwater table	dynamic softwater lakes
GW_05.1_quarries	en	Groundwater monitoring: 5.1 Desiccation through groundwater: partim marl quarries	GW: 05.1_des_gw: quarries
GW_05.1_terr	en	Groundwater monitoring: 5.1 Desiccation through groundwater: partim terrestrial	GW: 05.1_des_gw: terr
GW_05.1_terr_group1	en	types from very wet environments	very wet
GW_05.1_terr_group2	en	types from wet environments	wet
GW_05.1_terr_group3	en	types from moderately wet environments	moderately wet
GW_05.1_terr_group4	en	types from moist environments	moist
GW_05.1_terr_group5	en	types from locally moist environments	locally moist
GW_05.2	en	Groundwater monitoring: 5.2 Wetting through groundwater	GW: 05.2_wet_gw
GW_07.1	en	Groundwater monitoring: 7.1 Desalination through groundwater	GW: 07.1_desal_gw
GW_08.3	en	Groundwater monitoring: 8.3 Pollution through groundwater	GW: 08.3_poll_gw
HQ1330	en	Habitat quality scheme: Atlantic salt meadows	Habitat quality scheme 1330
HQ2120	en	Habitat quality scheme: White dunes	Habitat quality scheme 2120
HQ2130	en	Habitat quality scheme: Grey dunes	Habitat quality scheme 2130
HQ2160	en	Habitat quality scheme: Hippophaë rhamnoides dunes	Habitat quality scheme 2160
HQ2170	en	Habitat quality scheme: Salix repens dunes	Habitat quality scheme 2170
HQ2180	en	Habitat quality scheme: Wooded dunes	Habitat quality scheme 2180
HQ2190_aq	en	Habitat quality scheme: Dune slack ponds	Habitat quality scheme 2190_a
HQ2190_terr	en	Habitat quality scheme: Humid dune slacks (terrestrial)	Habitat quality scheme 2190 (terr)
HQ2310	en	Habitat quality scheme: Psammophylic heath	Habitat quality scheme 2310
HQ2330	en	Habitat quality scheme: Inland shifting dunes	Habitat quality scheme 2330
HQ3110	en	Habitat quality scheme: Barely buffered standing waters	Habitat quality scheme 3110
HQ3130	en	Habitat quality scheme: Poorly buffered standing waters	Habitat quality scheme 3130
HQ3140	en	Habitat quality scheme: Standing waters with Chara	Habitat quality scheme 3140
HQ3150	en	Habitat quality scheme: Lakes with Stratiotes and Potamogeton	Habitat quality scheme 3150
